,date,vault_address,vault_name,market_uniqueKey,vault_supplyUsd
103,2025-08-26,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
102,2025-08-27,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
101,2025-08-28,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
100,2025-08-29,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
99,2025-08-30,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
98,2025-08-31,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
97,2025-09-01,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
96,2025-09-02,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
95,2025-09-03,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
94,2025-09-04,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
